column,null_rate,dtype,n_unique,n_nonnull,exceeds_threshold
max_bal_bc,1.0,float64,0,0,True
open_rv_24m,1.0,float64,0,0,True
inq_fi,1.0,float64,0,0,True
open_rv_12m,1.0,float64,0,0,True
il_util,1.0,float64,0,0,True
mths_since_rcnt_il,1.0,float64,0,0,True
total_bal_il,1.0,float64,0,0,True
open_il_24m,1.0,float64,0,0,True
open_il_12m,1.0,float64,0,0,True
open_il_6m,1.0,float64,0,0,True
open_acc_6m,1.0,float64,0,0,True
dti_joint,1.0,float64,0,0,True
annual_inc_joint,1.0,float64,0,0,True
verification_status_joint,1.0,float64,0,0,True
all_util,1.0,float64,0,0,True
inq_last_12m,1.0,float64,0,0,True
total_cu_tl,1.0,float64,0,0,True
mths_since_last_record,0.865665848140086,float64,123,62638,True
mths_since_last_major_derog,0.7877392581790107,float64,162,98974,True
desc,0.7298197454346591,object,124435,125981,True
mths_since_last_delinq,0.5369055406028502,float64,145,215934,True
next_pymnt_d,0.4872856729253568,object,100,239071,False
tot_coll_amt,0.15071469165853502,float64,6321,396009,False
total_rev_hi_lim,0.15071469165853502,float64,14612,396009,False
tot_cur_bal,0.15071469165853502,float64,220690,396009,False
emp_title,0.05916553180994456,object,205475,438697,False
emp_length,0.04505399058515715,object,11,445277,False
last_pymnt_d,0.0008063737842735666,object,98,465909,False
revol_util,0.0007291677836516293,float64,1269,465945,False
collections_12_mths_ex_med,0.00031096861361613605,float64,9,466140,False
last_credit_pull_d,9.00736673922601e-05,object,103,466243,False
delinq_2yrs,6.219372272322722e-05,float64,24,466256,False
acc_now_delinq,6.219372272322722e-05,float64,6,466256,False
pub_rec,6.219372272322722e-05,float64,26,466256,False
inq_last_6mths,6.219372272322722e-05,float64,28,466256,False
earliest_cr_line,6.219372272322722e-05,object,664,466256,False
open_acc,6.219372272322722e-05,float64,62,466256,False
total_acc,6.219372272322722e-05,float64,112,466256,False
title,4.503683369613005e-05,object,63098,466264,False
annual_inc,8.57844451354858e-06,float64,31901,466281,False
member_id,0.0,int64,466285,466285,False
Unnamed: 0,0.0,int64,466285,466285,False
id,0.0,int64,466285,466285,False
sub_grade,0.0,object,35,466285,False
grade,0.0,object,7,466285,False
installment,0.0,float64,55622,466285,False
int_rate,0.0,float64,506,466285,False
term,0.0,object,2,466285,False
funded_amnt_inv,0.0,float64,9854,466285,False
funded_amnt,0.0,int64,1354,466285,False
loan_amnt,0.0,int64,1352,466285,False
total_rec_int,0.0,float64,270249,466285,False
total_rec_prncp,0.0,float64,172713,466285,False
issue_d,0.0,object,91,466285,False
url,0.0,object,466285,466285,False
purpose,0.0,object,14,466285,False
zip_code,0.0,object,888,466285,False
addr_state,0.0,object,50,466285,False
dti,0.0,float64,3997,466285,False
home_ownership,0.0,object,6,466285,False
verification_status,0.0,object,3,466285,False
total_pymnt_inv,0.0,float64,347659,466285,False
total_pymnt,0.0,float64,351609,466285,False
out_prncp_inv,0.0,float64,141189,466285,False
out_prncp,0.0,float64,135665,466285,False
initial_list_status,0.0,object,2,466285,False
revol_bal,0.0,int64,58142,466285,False
pymnt_plan,0.0,object,2,466285,False
loan_status,0.0,object,9,466285,False
policy_code,0.0,int64,1,466285,False
application_type,0.0,object,1,466285,False
collection_recovery_fee,0.0,float64,20275,466285,False
recoveries,0.0,float64,22773,466285,False
total_rec_late_fee,0.0,float64,5808,466285,False
last_pymnt_amnt,0.0,float64,198194,466285,False
